15476;14550;Deetz bei Potsdam;DEUTSCHLAND;BRANDENBURG;52.4491630349926;12.7785446350098
15502;19217;Demern;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.74398;10.99056
15503;16866;Demerthin;DEUTSCHLAND;BRANDENBURG;52.97383;12.2924399999999
15507;15518;Demnitz bei Fürstenwalde;DEUTSCHLAND;BRANDENBURG;52.3905;14.18862
15517;17268;Densow;DEUTSCHLAND;BRANDENBURG;53.1450066769801;13.377721005249
15532;14542;Derwitz;DEUTSCHLAND;BRANDENBURG;52.40388;12.82264
15538;39291;Detershagen bei Burg bei Magdeburg;DEUTSCHLAND;SACHSEN-ANHALT;52.24447;11.8117999999999
15556;16818;Deutschhof bei Fehrbellin;DEUTSCHLAND;BRANDENBURG;52.7001259454957;12.8165615026855
15572;57319;Diedenshausen, Kreis Wittgenstein;DEUTSCHLAND;NORDRHEIN-WESTFALEN;51.0741;8.503
15573;15306;Diedersdorf bei Seelow;DEUTSCHLAND;BRANDENBURG;52.51122;14.32663
15586;17252;Diemitz bei Mirow;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.20411;12.83469
15592;15711;Diepensee;DEUTSCHLAND;BRANDENBURG;52.3007041412909;13.5884378677367
15596;16835;Dierberg;DEUTSCHLAND;BRANDENBURG;53.02457;12.97262
15601;01612;Diesbar-Seußlitz;DEUTSCHLAND;SACHSEN;51.2403455602889;13.4167858306885
15603;06184;Dieskau;DEUTSCHLAND;SACHSEN-ANHALT;51.4316701;12.04114
15634;38838;Dingelstedt am Huy;DEUTSCHLAND;SACHSEN-ANHALT;51.97512;10.9803400000001
15655;02788;Dittelsdorf;DEUTSCHLAND;SACHSEN;50.95321;14.8724999999999
15666;15868;Doberburg;DEUTSCHLAND;BRANDENBURG;52.00436;14.24429
15676;19243;Dodow;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.50176;10.9964199999999
15678;14727;Döberitz;DEUTSCHLAND;BRANDENBURG;52.52071;12.36631
15680;04509;Döbernitz;DEUTSCHLAND;SACHSEN;51.51282;12.34889
15687;06184;Dölbau;DEUTSCHLAND;SACHSEN-ANHALT;51.46801;12.05822
15688;16866;Döllen bei Neustadt, Dosse;DEUTSCHLAND;BRANDENBURG;52.98907;12.1853
15689;04928;Döllingen;DEUTSCHLAND;BRANDENBURG;51.4826853158417;13.5887931640625
